idx;id;sci_name;com_name;class;order
5811;10597;Sholicola albiventris;White-bellied Blue Robin;Aves;Passeriformes
5812;10599;Myiomela leucura;White-tailed Robin;Aves;Passeriformes
5813;10602;Myiopagis caniceps;Grey-headed Elaenia;Aves;Passeriformes
5814;10603;Myiopagis cinerea;Amazonian Elaenia;Aves;Passeriformes
5815;10604;Myiopagis parambae;Choco Elaenia;Aves;Passeriformes
5816;10605;Myiopagis cotta;Jamaican Elaenia;Aves;Passeriformes
5817;10606;Myiopagis flavivertex;Yellow-crowned Elaenia;Aves;Passeriformes
5818;10607;Myiopagis gaimardii;Forest Elaenia;Aves;Passeriformes
5819;10608;Myiopagis olallai;Foothill Elaenia;Aves;Passeriformes
5820;10609;Myiopagis subplacens;Pacific Elaenia;Aves;Passeriformes
5821;10610;Myiopagis viridicata;Greenish Elaenia;Aves;Passeriformes
5822;10611;Myiophobus crypterythrus;Mouse-grey Flycatcher;Aves;Passeriformes
5823;10612;Myiophobus fasciatus;Bran-colored Flycatcher;Aves;Passeriformes
5824;10613;Myiophobus rufescens;Rufescent Flycatcher;Aves;Passeriformes
5825;10614;Myiophobus cryptoxanthus;Olive-chested Flycatcher;Aves;Passeriformes
5826;10615;Myiophobus flavicans;Flavescent Flycatcher;Aves;Passeriformes
5827;10617;Nephelomyias lintoni;Orange-banded Flycatcher;Aves;Passeriformes
5828;10618;Nephelomyias ochraceiventris;Ochraceous-breasted Flycatcher;Aves;Passeriformes
5829;10619;Myiophobus phoenicomitra;Orange-crested Flycatcher;Aves;Passeriformes
5830;10620;Nephelomyias pulcher;Handsome Flycatcher;Aves;Passeriformes
5831;10623;Myiopsitta monachus;Monk Parakeet;Aves;Psittaciformes
5832;10624;Myiornis albiventris;White-bellied Pygmy Tyrant;Aves;Passeriformes
5833;10625;Myiornis atricapillus;Black-capped Pygmy Tyrant;Aves;Passeriformes
5834;10626;Myiornis auricularis;Eared Pygmy Tyrant;Aves;Passeriformes
5835;10627;Myiornis ecaudatus;Short-tailed Pygmy Tyrant;Aves;Passeriformes
5836;10629;Myiotheretes fumigatus;Smoky Bush Tyrant;Aves;Passeriformes
5837;10630;Myiotheretes fuscorufus;Rufous-bellied Bush Tyrant;Aves;Passeriformes
5838;10632;Myiotheretes striaticollis;Streak-throated Bush Tyrant;Aves;Passeriformes
5839;10633;Myiothlypis bivittata;Two-banded Warbler;Aves;Passeriformes
5840;10635;Myiothlypis chlorophrys;Choco Warbler;Aves;Passeriformes
5841;10636;Myiothlypis chrysogaster;Cuzco Warbler;Aves;Passeriformes
5842;10637;Myiothlypis cinereicollis;Grey-throated Warbler;Aves;Passeriformes
5843;10639;Myiothlypis coronata;Russet-crowned Warbler;Aves;Passeriformes
5844;10640;Myiothlypis flaveola;Flavescent Warbler;Aves;Passeriformes
5845;10641;Myiothlypis fraseri;Grey-and-gold Warbler;Aves;Passeriformes
5846;10642;Myiothlypis fulvicauda;Buff-rumped Warbler;Aves;Passeriformes
5847;10644;Myiothlypis leucoblephara;White-rimmed Warbler;Aves;Passeriformes
5848;10645;Myiothlypis leucophrys;White-striped Warbler;Aves;Passeriformes
