43373	Callithrix jacchus	Common Marmoset
43374	Callithrix penicillata	Black-tufted-ear Marmoset
43375	Callithrix aurita	Buffy-tufted-ear Marmoset
43381	Saguinus tripartitus	Golden-mantle Saddleback Tamarin
43384	Saguinus geoffroyi	Geoffroy’s Tamarin
43385	Saguinus leucopus	Silvery-brown Tamarin
43386	Saguinus nigricollis	Black-mantled Tamarin
43387	Saguinus midas	Golden-handed Tamarin
43391	Saguinus oedipus	Cotton-headed Tamarin
43406	Ateles belzebuth	White-bellied Spider Monkey
43408	Ateles paniscus	Guiana Spider Monkey
43410	Ateles chamek	Black-faced Black Spider Monkey
43411	Ateles geoffroyi	Central American Spider Monkey
43425	Saimiri oerstedii	Central American Squirrel Monkey
43428	Saimiri sciureus	Common Squirrel Monkey
43432	Cebus capucinus	Colombian White-throated Capuchin
43435	Alouatta caraya	Black-and-gold Howler Monkey
43436	Alouatta palliata	Mantled Howler Monkey
43439	Alouatta pigra	Yucatán Black Howler Monkey
43441	Alouatta belzebul	Red-handed Howler Monkey
43450	Macaca cyclopis	Formosan Rock Macaque
43455	Macaca nemestrina	Southern Pig-tailed Macaque
43459	Macaca fascicularis	Long-tailed Macaque
43480	Cercopithecus ascanius	Red-tailed Monkey
43485	Cercopithecus nictitans	Putty-nosed Monkey
43486	Cercopithecus mitis	Blue Monkey
43494	Trachypithecus obscurus	Dusky Leaf Monkey
43502	Presbytis rubicunda	Maroon Leaf Monkey
43504	Presbytis melalophos	Sumatran Surili
43533	Mandrillus sphinx	Mandrill
43538	Nasalis larvatus	Proboscis Monkey
43540	Lophocebus albigena	grey-mantled grey-cheeked mangabey
43567	Otolemur crassicaudatus	Brown Greater Galago
43582	Pongo pygmaeus	Bornean Orangutan
43592	Hylobates moloch	Javan Gibbon
43593	Hylobates lar	Lar Gibbon
43600	Indri indri	Indri
43603	Propithecus verreauxi	Verreaux's Sifaka
43613	Eulemur fulvus	Common Brown Lemur
43615	Varecia variegata	Black-and-white Ruffed Lemur
43617	Lemur catta	Ring-tailed Lemur
43658	Callicebus nigrifrons	Black-fronted Titi
43683	Callicebus personatus	Northern Masked Titi
43694	Loxodonta africana	African Savanna Elephant
43697	Elephas maximus	Asian Elephant
43712	Dasyprocta punctata	Central American Agouti
437733	Oecanthus longicauda	Oecanthus longicauda
43793	Castor fiber	Eurasian Beaver
43794	Castor canadensis	American Beaver
43997	Myocastor coypus	Coypu
44026	Erethizon dorsatum	North American Porcupine
44576	Rattus norvegicus	Brown Rat
450370	Gaeana maculata	Speckled Black Cicada
454573	Okanagana noveboracensis	Aspen Cicada
454805	Cyphoderris monstrosa	Great Grig
45763	Ondatra zibethicus	Muskrat
45856	Muscardinus avellanarius	Hazel Dormouse
45863	Eliomys quercinus	European Garden Dormouse
458943	Pseudochorthippus curtipennis	Marsh meadow grasshopper
458944	Roeseliana roeselii	Roesel's Bush-cricket
45936	Funambulus pennantii	Five-striped Palm Squirrel
45937	Funambulus tristriatus	Jungle Palm Squirrel
